Registrikood;Nimi;Tööjõumaksud Ja Maksed;Tootajaid;YearQ
70001975;SOTSIAALKINDLUSTUSAMET;49554595;584;18iv
70001975;SOTSIAALKINDLUSTUSAMET;49242810;568;18iii
70001975;SOTSIAALKINDLUSTUSAMET;48111402;568;18ii
70001975;SOTSIAALKINDLUSTUSAMET;45674010;556;18i
74000085;EESTI TÖÖTUKASSA;20823834;865;18iii
74000085;EESTI TÖÖTUKASSA;20695073;853;18i
74000085;EESTI TÖÖTUKASSA;20593853;871;18ii
74000085;EESTI TÖÖTUKASSA;20477783;865;18iv
70000562;SISEMINISTEERIUM;19428964;8354;18iv
70000562;SISEMINISTEERIUM;19133316;8322;18iii
70000562;SISEMINISTEERIUM;18353585;8310;18i
70000562;SISEMINISTEERIUM;17836956;8323;18ii
70008641;KAITSEVÄGI;12932410;1;18iv
70008641;KAITSEVÄGI;12459017;1;18ii
70008641;KAITSEVÄGI;11704167;1;18i
70008641;KAITSEVÄGI;11527311;1;18iii
90001478;TARTU ÜLIKOOLI KLIINIKUM SIHTASUTUS;11067319;4403;18iii
90006399;PÕHJA-EESTI REGIONAALHAIGLA SIHTASUTUS;10028293;4023;18iii
90001478;TARTU ÜLIKOOLI KLIINIKUM SIHTASUTUS;9889986;4390;18iv
90001478;TARTU ÜLIKOOLI KLIINIKUM SIHTASUTUS;9853452;4361;18i
74000091;EESTI HAIGEKASSA;9733264;323;18ii
90006399;PÕHJA-EESTI REGIONAALHAIGLA SIHTASUTUS;9520172;4036;18iv
90006399;PÕHJA-EESTI REGIONAALHAIGLA SIHTASUTUS;9199356;4006;18ii
90001478;TARTU ÜLIKOOLI KLIINIKUM SIHTASUTUS;9191055;4388;18ii
90006399;PÕHJA-EESTI REGIONAALHAIGLA SIHTASUTUS;8921481;3946;18i
74000091;EESTI HAIGEKASSA;8845317;319;18i
74001073;TARTU ÜLIKOOL;8769742;4446;18iii
74001073;TARTU ÜLIKOOL;8693650;4677;18iv
74001073;TARTU ÜLIKOOL;8615398;4657;18i
74001073;TARTU ÜLIKOOL;8364859;4228;18ii
74000091;EESTI HAIGEKASSA;7662849;357;18iii
74000091;EESTI HAIGEKASSA;7593800;291;18iv
10060701;SWEDBANK AS;7294533;2162;18iv
10060701;SWEDBANK AS;7207300;2114;18iii
10234957;TELIA EESTI AS;7080779;1705;18ii
10060701;SWEDBANK AS;7074220;2154;18ii
70000272;RAHANDUSMINISTEERIUM;6980964;477;18i
70000272;RAHANDUSMINISTEERIUM;6862922;441;18iv
75006546;TARTU LINNAVALITSUS;6856865;366;18iii
10060701;SWEDBANK AS;6836121;2122;18i
75006546;TARTU LINNAVALITSUS;6835894;358;18i
70000272;RAHANDUSMINISTEERIUM;6786109;434;18iii
12467306;OÜ UG INVESTEERINGUD;6593016;0;18iv
75006546;TARTU LINNAVALITSUS;6538770;363;18iv
70000272;RAHANDUSMINISTEERIUM;6532931;481;18ii
75006546;TARTU LINNAVALITSUS;6440544;357;18ii
10234957;TELIA EESTI AS;6145559;1710;18iii
10032389;ENEFIT KAEVANDUSED AS;6061934;2036;18ii
10234957;TELIA EESTI AS;6037220;1703;18iv
